,x,y,start,type,hitsound,end
0,192,192,1068,1,2,0
1,320,192,1142,1,2,0
2,64,192,1217,1,6,0
3,448,192,1217,1,4,0
4,64,192,1514,1,6,0
5,448,192,1514,1,4,0
6,64,192,1811,1,8,0
7,448,192,1811,1,4,0
8,64,192,2108,1,6,0
9,448,192,2108,1,4,0
10,448,192,2405,1,6,0
11,320,192,2405,1,4,0
12,192,192,2553,1,6,0
13,64,192,2553,1,4,0
14,320,192,2702,1,6,0
15,448,192,2702,1,4,0
16,64,192,2850,1,6,0
17,192,192,2850,1,4,0
18,320,192,2999,1,4,0
19,448,192,2999,1,2,0
20,64,192,3296,1,0,0
21,192,192,3370,1,0,0
22,320,192,3444,1,0,0
23,448,192,3519,1,0,0
24,64,192,3593,1,4,0
25,320,192,3593,1,2,0
26,320,192,3890,1,8,0
27,64,192,3890,1,0,0
28,192,192,4187,1,2,0
29,64,192,4335,1,0,0
30,448,192,4484,1,8,0
31,192,192,4484,1,0,0
32,320,192,4632,1,0,0
33,64,192,4929,1,0,0
34,320,192,4929,1,0,0
35,192,192,5227,1,0,0
36,448,192,5227,1,0,0
37,320,192,5375,1,4,0
38,192,192,5524,1,0,0
39,64,192,5672,1,8,0
40,192,192,5821,1,2,0
41,64,192,5969,1,2,0
42,448,192,5969,1,0,0
43,192,192,6266,1,8,0
44,448,192,6266,1,0,0
45,448,192,6563,1,2,0
46,64,192,6563,1,0,0
47,192,192,6860,1,8,0
48,448,192,6860,1,0,0
49,320,192,7009,1,0,0
50,64,192,7306,1,0,0
51,320,192,7306,1,0,0
52,320,192,7603,1,0,0
53,192,192,7751,1,2,0
54,64,192,7900,1,0,0
55,192,192,8048,1,8,0
56,320,192,8197,1,2,0
57,448,192,8345,1,2,0
58,64,192,8345,1,0,0
59,64,192,8642,1,8,0
60,320,192,8642,1,0,0
61,64,192,8939,1,2,0
62,192,192,8939,1,0,0
63,192,192,9236,1,8,0
64,448,192,9236,1,0,0
65,64,192,9385,1,0,0
66,192,192,9682,1,0,0
67,448,192,9682,1,0,0
68,192,192,9979,1,0,0
69,320,192,9979,1,0,0
70,64,192,10128,1,2,0
71,192,192,10276,1,0,0
72,320,192,10425,1,8,0
73,448,192,10573,1,2,0
74,64,192,10722,1,2,0
75,320,192,10722,1,0,0
76,192,192,11019,1,8,0
77,448,192,11019,1,0,0
78,320,192,11316,1,8,0
79,448,192,11316,1,0,0
80,64,192,11464,1,2,0
81,320,192,11761,1,2,0
