,x,y,start,type,hitsound,end
0,320,192,830,128,0,2771
1,64,192,2771,1,0,0
2,448,192,2771,1,0,0
3,320,192,3124,1,0,0
4,448,192,3124,1,0,0
5,192,192,3477,1,0,0
6,320,192,3830,1,0,0
7,448,192,3830,1,0,0
8,64,192,4183,1,0,0
9,320,192,4536,1,0,0
10,448,192,4536,1,0,0
11,192,192,4889,1,0,0
12,320,192,5242,1,0,0
13,448,192,5242,1,0,0
14,64,192,5595,1,0,0
15,192,192,5948,1,0,0
16,320,192,5948,1,0,0
17,448,192,6301,1,0,0
18,192,192,6654,1,0,0
19,320,192,6654,1,0,0
20,64,192,7007,1,0,0
21,192,192,7359,1,0,0
22,320,192,7359,1,0,0
23,448,192,7712,1,0,0
24,64,192,8065,1,0,0
25,448,192,8065,1,0,0
26,192,192,8242,1,0,0
27,320,192,8418,1,0,0
28,64,192,8771,1,0,0
29,192,192,8771,1,0,0
30,448,192,9124,1,0,0
31,64,192,9477,1,0,0
32,192,192,9477,1,0,0
33,320,192,9830,1,0,0
34,64,192,10183,1,0,0
35,192,192,10183,1,0,0
36,448,192,10536,1,0,0
37,64,192,10889,1,0,0
38,192,192,10889,1,0,0
39,320,192,11242,1,0,0
40,64,192,11595,1,0,0
41,448,192,11595,1,0,0
42,192,192,11948,1,0,0
43,64,192,12301,1,0,0
44,448,192,12301,1,0,0
45,320,192,12654,1,0,0
46,64,192,13007,1,0,0
47,448,192,13007,1,0,0
48,192,192,13183,128,0,13359
49,448,192,13359,128,0,13712
50,64,192,13712,1,0,0
51,320,192,13712,1,0,0
52,192,192,13889,128,0,14065
53,448,192,14065,1,0,0
54,64,192,14418,1,0,0
55,320,192,14418,1,0,0
56,192,192,14771,1,0,0
57,64,192,15124,1,0,0
58,320,192,15124,1,0,0
59,448,192,15477,1,0,0
60,64,192,15830,1,0,0
61,320,192,15830,1,0,0
62,192,192,16183,1,0,0
63,64,192,16536,1,0,0
64,320,192,16536,1,0,0
65,448,192,16889,1,0,0
66,192,192,17242,1,0,0
67,320,192,17242,1,0,0
68,64,192,17595,1,0,0
69,192,192,17948,1,0,0
70,448,192,17948,1,0,0
71,320,192,18301,1,0,0
72,192,192,18654,1,0,0
73,448,192,18654,1,0,0
74,64,192,19007,1,0,0
75,320,192,19359,1,0,0
76,448,192,19359,1,0,0
77,192,192,19536,1,0,0
78,64,192,19712,1,0,0
79,448,192,19712,1,0,0
80,192,192,19889,1,0,0
81,320,192,20065,1,0,0
82,448,192,20242,1,0,0
83,64,192,20418,1,0,0
84,192,192,20595,1,0,0
85,448,192,20771,1,0,0
86,320,192,20948,1,0,0
87,64,192,21124,1,0,0
88,192,192,21124,1,0,0
89,320,192,21301,1,0,0
90,64,192,21477,1,0,0
91,192,192,21654,1,0,0
92,320,192,21830,1,0,0
93,448,192,21830,1,0,0
94,192,192,22007,1,0,0
95,448,192,22183,1,0,0
96,320,192,22359,1,0,0
97,64,192,22536,1,0,0
98,192,192,22536,1,0,0
99,64,192,22889,1,0,0
100,192,192,22889,1,0,0
101,64,192,23242,128,0,23948
102,192,192,23242,1,0,0
103,320,192,23595,1,0,0
104,448,192,23595,128,0,23948
105,192,192,23948,1,0,0
106,320,192,23948,1,0,0
107,64,192,24212,1,0,0
108,320,192,24212,1,0,0
109,192,192,24477,1,0,0
110,448,192,24477,1,0,0
111,320,192,24742,1,0,0
112,448,192,24742,1,0,0
113,64,192,25007,1,0,0
114,192,192,25007,1,0,0
115,192,192,25183,1,0,0
116,320,192,25183,1,0,0
117,64,192,25359,1,0,0
118,448,192,25359,1,0,0
119,192,192,25536,128,0,25712
120,320,192,25712,1,0,0
121,448,192,25712,1,0,0
122,64,192,25889,128,0,26065
123,448,192,26065,1,0,0
124,192,192,26242,128,0,26418
125,320,192,26418,1,0,0
126,448,192,26418,1,0,0
127,64,192,26595,128,0,26771
128,448,192,26771,1,0,0
129,192,192,26948,128,0,27124
130,320,192,27124,1,0,0
131,448,192,27124,1,0,0
132,64,192,27301,128,0,27477
133,448,192,27477,1,0,0
134,192,192,27654,128,0,27830
135,320,192,27830,1,0,0
136,448,192,27830,1,0,0
137,64,192,28007,128,0,28183
138,320,192,28183,1,0,0
139,192,192,28359,128,0,28536
140,64,192,28536,1,0,0
141,448,192,28536,1,0,0
142,320,192,28712,128,0,28889
143,64,192,28889,1,0,0
144,192,192,29065,128,0,29242
145,64,192,29242,1,0,0
146,448,192,29242,1,0,0
147,320,192,29418,128,0,29595
148,64,192,29595,1,0,0
149,192,192,29771,128,0,29948
150,64,192,29948,1,0,0
151,448,192,29948,1,0,0
152,320,192,30124,128,0,30301
153,64,192,30301,1,0,0
154,192,192,30477,128,0,30654
155,64,192,30654,1,0,0
156,448,192,30654,1,0,0
157,448,192,30830,1,0,0
158,64,192,31007,1,0,0
159,448,192,31183,128,0,31359
160,64,192,31359,1,0,0
161,192,192,31359,1,0,0
162,320,192,31536,128,0,31712
163,64,192,31712,1,0,0
164,448,192,31889,128,0,32065
165,64,192,32065,1,0,0
166,192,192,32065,1,0,0
167,320,192,32242,128,0,32418
168,64,192,32418,1,0,0
169,448,192,32595,128,0,32771
170,64,192,32771,1,0,0
171,192,192,32771,1,0,0
172,320,192,32948,128,0,33124
173,64,192,33124,1,0,0
174,448,192,33301,128,0,33477
175,64,192,33477,1,0,0
176,192,192,33477,1,0,0
177,320,192,33654,128,0,33830
178,448,192,33830,1,0,0
179,64,192,34007,128,0,34183
180,320,192,34183,1,0,0
181,448,192,34183,1,0,0
182,192,192,34359,128,0,34536
183,448,192,34536,1,0,0
184,64,192,34712,128,0,34889
185,320,192,34889,1,0,0
186,448,192,34889,1,0,0
187,192,192,35065,128,0,35242
188,64,192,35242,128,0,35595
189,448,192,35242,1,0,0
190,320,192,35595,128,0,35948
191,64,192,35948,128,0,36301
192,192,192,35948,1,0,0
193,320,192,36301,1,0,0
194,448,192,36301,128,0,36654
195,64,192,36654,1,0,0
196,320,192,36830,128,0,37007
197,192,192,37007,1,0,0
198,448,192,37007,1,0,0
199,64,192,37183,128,0,37359
200,448,192,37359,1,0,0
201,320,192,37536,128,0,37712
202,192,192,37712,1,0,0
203,448,192,37712,1,0,0
204,64,192,37889,128,0,38065
205,448,192,38065,1,0,0
206,320,192,38242,128,0,38418
207,192,192,38418,1,0,0
208,448,192,38418,1,0,0
209,64,192,38595,128,0,38771
210,448,192,38771,1,0,0
211,320,192,38948,128,0,39124
212,192,192,39124,1,0,0
213,448,192,39124,1,0,0
214,64,192,39301,128,0,39477
215,192,192,39477,1,0,0
216,448,192,39654,128,0,39830
217,64,192,39830,1,0,0
218,320,192,39830,1,0,0
219,192,192,40007,128,0,40183
220,320,192,40183,1,0,0
221,448,192,40359,128,0,40536
222,64,192,40536,1,0,0
223,320,192,40536,1,0,0
224,192,192,40712,128,0,40889
225,320,192,40889,1,0,0
226,448,192,41065,128,0,41242
227,64,192,41242,1,0,0
228,320,192,41242,1,0,0
229,192,192,41418,128,0,41595
230,320,192,41595,1,0,0
231,448,192,41771,128,0,41948
232,64,192,41948,1,0,0
233,320,192,41948,1,0,0
234,64,192,42124,1,0,0
235,192,192,42301,1,0,0
236,448,192,42477,128,0,42654
237,192,192,42654,1,0,0
238,320,192,42654,1,0,0
239,64,192,42830,128,0,43007
240,192,192,43007,1,0,0
241,448,192,43183,128,0,43359
242,192,192,43359,1,0,0
243,320,192,43359,1,0,0
244,64,192,43536,128,0,43712
245,192,192,43712,1,0,0
246,448,192,43889,128,0,44065
247,192,192,44065,1,0,0
248,320,192,44065,1,0,0
249,64,192,44242,128,0,44418
250,192,192,44418,1,0,0
251,448,192,44595,128,0,44771
252,192,192,44771,1,0,0
253,320,192,44771,1,0,0
254,64,192,44948,128,0,45124
255,448,192,45124,1,0,0
256,320,192,45301,128,0,45477
257,64,192,45477,1,0,0
258,448,192,45477,1,0,0
259,192,192,45654,128,0,45830
260,448,192,45830,1,0,0
261,320,192,46007,128,0,46183
262,64,192,46183,1,0,0
263,448,192,46183,1,0,0
264,192,192,46359,128,0,46536
265,448,192,46536,1,0,0
266,64,192,46712,128,0,46889
267,320,192,46889,1,0,0
268,448,192,46889,1,0,0
269,64,192,47065,128,0,47242
270,320,192,47242,128,0,47595
271,448,192,47242,1,0,0
272,192,192,47595,128,0,47948
273,64,192,47948,128,0,48654
274,448,192,47948,1,0,0
275,192,192,48654,1,0,0
276,320,192,48654,128,0,49359
277,64,192,49359,1,0,0
278,64,192,49624,1,0,0
279,64,192,49889,1,0,0
280,320,192,50065,1,0,0
281,448,192,50065,128,0,50771
282,64,192,50771,128,0,51477
283,320,192,51477,1,0,0
284,448,192,51477,1,0,0
285,64,192,51654,1,0,0
286,448,192,51830,1,0,0
287,320,192,52183,1,0,0
288,448,192,52536,1,0,0
289,448,192,52712,1,0,0
290,64,192,52889,128,0,53595
291,192,192,52889,1,0,0
292,448,192,53595,128,0,54301
293,320,192,53948,128,0,54301
294,64,192,54301,1,0,0
295,192,192,54301,1,0,0
296,64,192,54565,1,0,0
297,64,192,54830,1,0,0
298,320,192,55007,128,0,55712
299,64,192,55712,128,0,56065
300,448,192,55712,1,0,0
301,192,192,56065,128,0,56418
302,448,192,56418,1,0,0
303,64,192,56771,1,0,0
304,64,192,56948,1,0,0
305,320,192,57124,1,0,0
306,448,192,57124,128,0,57477
307,192,192,57477,128,0,57830
308,64,192,57830,128,0,58183
309,320,192,58183,128,0,58889
310,64,192,58536,1,0,0
311,192,192,58536,128,0,58889
312,448,192,58889,128,0,59242
313,64,192,59242,1,0,0
314,192,192,59242,1,0,0
315,320,192,59418,128,0,59594
316,64,192,59594,1,0,0
317,448,192,59594,1,0,0
318,192,192,59771,128,0,59947
319,64,192,59947,1,0,0
320,320,192,60123,128,0,60300
321,64,192,60300,1,0,0
322,448,192,60300,1,0,0
323,192,192,60476,128,0,60652
324,64,192,60652,1,0,0
325,320,192,60828,128,0,61004
326,64,192,61004,1,0,0
327,448,192,61004,1,0,0
328,192,192,61180,128,0,61357
329,64,192,61357,1,0,0
330,320,192,61533,128,0,61709
331,64,192,61709,1,0,0
332,448,192,61709,1,0,0
333,192,192,61885,128,0,62062
334,64,192,62062,1,0,0
335,448,192,62238,128,0,62414
336,64,192,62414,1,0,0
337,192,192,62414,1,0,0
338,320,192,62590,128,0,62766
339,64,192,62766,1,0,0
340,448,192,62942,128,0,63118
341,64,192,63118,1,0,0
342,192,192,63118,1,0,0
343,320,192,63295,128,0,63471
344,64,192,63471,1,0,0
345,448,192,63647,128,0,63823
346,64,192,63823,1,0,0
347,192,192,63823,1,0,0
348,320,192,63999,128,0,64175
349,64,192,64175,1,0,0
350,448,192,64351,128,0,64527
351,64,192,64527,1,0,0
352,192,192,64527,1,0,0
353,320,192,64703,1,0,0
354,64,192,64879,1,0,0
355,192,192,65054,128,0,65230
356,320,192,65230,1,0,0
357,448,192,65230,1,0,0
358,64,192,65406,128,0,65582
359,448,192,65582,1,0,0
360,192,192,65758,128,0,65934
361,320,192,65934,1,0,0
362,448,192,65934,1,0,0
363,64,192,66110,128,0,66286
364,448,192,66286,1,0,0
365,192,192,66461,128,0,66637
366,320,192,66637,1,0,0
367,448,192,66637,1,0,0
368,64,192,66813,128,0,66988
369,448,192,66988,1,0,0
370,192,192,67164,128,0,67340
371,320,192,67340,1,0,0
372,448,192,67340,1,0,0
373,64,192,67516,128,0,67691
374,448,192,67691,1,0,0
375,192,192,67866,128,0,68041
376,64,192,68041,1,0,0
377,320,192,68041,1,0,0
378,448,192,68217,128,0,68392
379,64,192,68392,1,0,0
380,192,192,68568,128,0,68743
381,64,192,68743,1,0,0
382,320,192,68743,1,0,0
383,448,192,68919,128,0,69094
384,64,192,69094,1,0,0
385,192,192,69269,128,0,69444
386,64,192,69444,1,0,0
387,320,192,69444,1,0,0
388,448,192,69619,128,0,69794
389,64,192,69794,1,0,0
390,192,192,69969,128,0,70144
391,64,192,70144,1,0,0
392,320,192,70144,1,0,0
393,192,192,70319,1,0,0
394,448,192,70495,1,0,0
395,64,192,70669,1,0,0
396,320,192,70844,1,0,0
397,448,192,70844,1,0,0
398,192,192,71018,1,0,0
399,448,192,71193,128,0,71891
400,320,192,71542,128,0,71891
401,64,192,71891,1,0,0
402,192,192,71891,1,0,0
403,320,192,72152,1,0,0
404,448,192,72152,1,0,0
405,192,192,72413,1,0,0
406,320,192,72413,1,0,0
407,64,192,72674,1,0,0
408,448,192,72674,1,0,0
409,64,192,72935,1,0,0
410,192,192,72935,1,0,0
411,192,192,73109,1,0,0
412,320,192,73109,1,0,0
413,320,192,73283,1,0,0
414,448,192,73283,1,0,0
415,64,192,73629,1,0,0
416,192,192,73629,1,0,0
417,448,192,73976,128,0,74670
418,64,192,74323,1,0,0
419,192,192,74323,1,0,0
420,64,192,74670,128,0,75017
421,320,192,75017,128,0,75190
422,448,192,75017,1,0,0
423,192,192,75190,128,0,75363
424,64,192,75363,128,0,75537
425,448,192,75537,128,0,75710
426,64,192,75710,1,0,0
427,192,192,75710,128,0,75884
428,320,192,75884,128,0,76057
429,448,192,76057,1,0,0
430,64,192,76404,128,0,77444
431,448,192,76404,1,0,0
432,192,192,76751,1,0,0
433,320,192,77098,1,0,0
434,448,192,77098,1,0,0
435,448,192,77444,128,0,77618
436,320,192,77618,128,0,77791
437,64,192,77791,1,0,0
438,192,192,77791,128,0,77965
439,320,192,77965,128,0,78138
440,448,192,78138,128,0,78311
441,64,192,78311,128,0,78485
442,320,192,78485,128,0,78658
443,448,192,78485,1,0,0
444,192,192,78658,128,0,78832
445,64,192,78832,1,0,0
446,64,192,79178,1,0,0
447,192,192,79178,1,0,0
448,448,192,79525,128,0,80219
449,64,192,79872,1,0,0
450,192,192,79872,1,0,0
451,320,192,80219,128,0,80566
452,192,192,80566,128,0,80739
453,448,192,80566,1,0,0
454,64,192,80739,128,0,80913
455,448,192,80913,128,0,81086
456,192,192,81086,128,0,81259
457,320,192,81259,128,0,81433
458,448,192,81259,1,0,0
459,64,192,81433,128,0,81606
