,x,y,start,type,hitsound,end
0,448,192,1217,1,6,0
1,448,192,1514,1,6,0
2,320,192,1811,1,8,0
3,64,192,2108,1,6,0
4,320,192,2405,1,6,0
5,64,192,2405,1,4,0
6,192,192,2553,1,6,0
7,64,192,2702,1,6,0
8,320,192,2850,1,6,0
9,448,192,2999,1,4,0
10,192,192,3296,128,0,3593
11,64,192,3593,1,4,0
12,320,192,3890,1,8,0
13,64,192,4187,1,2,0
14,192,192,4335,1,0,0
15,448,192,4484,1,8,0
16,320,192,4632,1,0,0
17,192,192,4929,1,0,0
18,448,192,5227,1,0,0
19,320,192,5375,1,4,0
20,192,192,5524,1,0,0
21,320,192,5672,1,8,0
22,192,192,5821,1,2,0
23,64,192,5969,1,2,0
24,320,192,6266,1,8,0
25,64,192,6563,1,2,0
26,448,192,6860,1,8,0
27,192,192,7009,1,0,0
28,192,192,7306,1,0,0
29,64,192,7603,1,0,0
30,320,192,7751,1,2,0
31,448,192,7900,1,0,0
32,192,192,8048,1,8,0
33,320,192,8197,1,2,0
34,448,192,8345,1,2,0
35,320,192,8642,1,8,0
36,64,192,8939,1,2,0
37,192,192,9236,1,8,0
38,320,192,9385,1,0,0
39,320,192,9682,1,0,0
40,64,192,9979,1,0,0
41,448,192,10128,1,2,0
42,320,192,10276,1,0,0
43,192,192,10425,1,8,0
44,64,192,10573,1,2,0
45,320,192,10722,1,2,0
46,320,192,11019,1,8,0
47,448,192,11316,1,8,0
48,64,192,11464,1,2,0
49,320,192,11761,1,2,0
50,64,192,12058,1,8,0
51,320,192,12355,1,8,0
52,64,192,12504,1,8,0
53,192,192,12578,1,8,0
54,320,192,12652,1,8,0
55,448,192,12801,1,0,0
56,64,192,12949,1,2,0
57,320,192,13098,1,6,0
58,448,192,13098,1,4,0
59,192,192,13395,1,8,0
60,320,192,13692,1,2,0
61,64,192,13989,1,8,0
62,320,192,14286,1,2,0
63,448,192,14583,1,8,0
64,192,192,14880,1,2,0
65,448,192,15177,1,8,0
66,64,192,15326,1,2,0
67,448,192,15474,1,2,0
68,448,192,15771,1,8,0
69,192,192,16068,1,2,0
70,64,192,16365,1,8,0
71,320,192,16662,1,2,0
72,448,192,16959,1,8,0
73,64,192,17256,1,4,0
74,320,192,17405,1,0,0
75,64,192,17553,1,4,0
76,320,192,17702,1,2,0
77,64,192,17850,1,4,0
78,192,192,17850,1,0,0
79,448,192,18147,1,8,0
80,320,192,18444,1,2,0
81,192,192,18741,1,8,0
82,64,192,19038,1,4,0
83,448,192,19038,1,0,0
84,320,192,19335,1,2,0
85,448,192,19632,1,2,0
86,64,192,19781,1,8,0
87,448,192,19929,1,2,0
88,64,192,20078,1,8,0
89,320,192,20227,128,8,21415
90,448,192,21415,1,2,0
91,448,192,21637,1,2,0
92,448,192,21860,1,2,0
93,64,192,22009,1,2,0
94,192,192,22083,1,2,0
95,320,192,22157,1,2,0
96,448,192,22306,1,2,0
97,320,192,22454,1,2,0
98,192,192,22603,1,2,0
99,64,192,22900,1,2,0
100,320,192,23197,1,8,0
101,192,192,23494,1,2,0
102,320,192,23791,1,8,0
103,320,192,23939,1,2,0
104,192,192,24088,1,2,0
105,192,192,24236,1,2,0
106,448,192,24385,1,2,0
107,64,192,24385,1,0,0
108,320,192,24682,128,8,24979
109,64,192,24979,1,6,0
110,192,192,24979,1,4,0
111,320,192,25722,1,2,0
112,64,192,26167,1,2,0
113,320,192,26910,1,2,0
114,448,192,27355,1,2,0
115,320,192,28098,1,2,0
116,192,192,28543,1,2,0
117,448,192,28989,1,2,0
118,64,192,29137,1,2,0
119,64,192,29434,1,2,0
120,320,192,29731,1,2,0
121,192,192,30474,1,2,0
122,448,192,30920,1,2,0
123,320,192,31662,1,2,0
124,64,192,32108,1,2,0
125,192,192,32553,1,2,0
126,320,192,32999,1,2,0
127,64,192,33296,1,2,0
128,448,192,33296,1,0,0
129,320,192,33741,128,2,33890
130,64,192,33890,1,0,0
131,192,192,34038,1,2,0
132,448,192,34187,1,2,0
133,320,192,34261,1,2,0
134,192,192,34335,1,2,0
135,64,192,34410,1,2,0
136,448,192,34781,1,4,0
137,320,192,34781,1,2,0
138,64,192,35078,1,2,0
139,192,192,35375,1,8,0
140,320,192,35375,1,0,0
141,320,192,35672,1,2,0
142,64,192,35969,1,8,0
143,448,192,35969,1,0,0
144,192,192,36266,1,2,0
145,192,192,36563,1,8,0
146,448,192,36563,1,0,0
147,320,192,36860,1,2,0
148,64,192,37157,1,8,0
149,448,192,37157,1,0,0
150,192,192,37454,1,2,0
151,320,192,37751,1,8,0
152,448,192,37751,1,0,0
153,64,192,38048,1,2,0
154,64,192,38345,1,8,0
155,192,192,38345,1,0,0
156,320,192,38642,1,2,0
157,320,192,38939,1,8,0
158,64,192,39236,1,4,0
159,448,192,39236,1,2,0
160,192,192,39533,1,8,0
161,320,192,39682,1,0,0
162,192,192,39830,1,0,0
163,320,192,40128,1,8,0
164,192,192,40276,1,0,0
165,320,192,40425,1,0,0
166,192,192,40722,1,8,0
167,64,192,41019,1,0,0
168,320,192,41316,1,8,0
169,64,192,41613,1,10,0
170,448,192,41613,1,8,0
171,192,192,41613,1,0,0
172,320,192,41910,1,8,0
173,64,192,42207,1,8,0
174,448,192,42207,1,2,0
175,192,192,42355,1,8,0
176,448,192,42504,1,8,0
177,320,192,42652,1,8,0
178,192,192,42801,128,10,43098
179,320,192,43098,128,0,43395
180,64,192,43989,1,6,0
181,192,192,43989,1,4,0
182,320,192,44286,1,8,0
183,64,192,44583,1,2,0
184,192,192,44583,1,0,0
185,448,192,44880,1,8,0
186,64,192,45177,1,2,0
187,64,192,45474,1,8,0
188,64,192,45771,1,2,0
189,448,192,45920,1,2,0
190,320,192,45994,1,2,0
191,192,192,46068,1,2,0
192,64,192,46217,1,2,0
193,320,192,46365,1,4,0
194,448,192,46365,1,0,0
195,64,192,46662,1,8,0
196,320,192,46959,1,2,0
197,192,192,47256,1,8,0
198,320,192,47405,1,0,0
199,64,192,47553,1,2,0
200,192,192,47850,1,2,0
201,320,192,48147,1,2,0
202,448,192,48444,1,2,0
203,64,192,48741,1,6,0
204,192,192,48741,1,4,0
205,320,192,49038,1,8,0
206,192,192,49335,1,2,0
207,448,192,49632,1,8,0
208,64,192,49929,1,2,0
209,320,192,50227,1,8,0
210,448,192,50524,1,2,0
211,320,192,50672,1,2,0
212,192,192,50746,1,2,0
213,64,192,50821,1,8,0
214,320,192,50969,1,2,0
215,64,192,51118,1,6,0
216,448,192,51118,1,4,0
217,192,192,51415,1,8,0
218,320,192,51712,1,2,0
219,192,192,52009,1,8,0
220,192,192,52157,1,2,0
221,448,192,52306,1,2,0
222,320,192,52603,1,2,0
223,192,192,52900,1,2,0
224,64,192,53197,1,2,0
225,192,192,53271,1,2,0
226,320,192,53345,1,2,0
227,448,192,53420,1,2,0
228,64,192,53494,1,6,0
229,448,192,53791,1,8,0
230,192,192,54088,1,2,0
231,320,192,54385,1,8,0
232,64,192,54682,1,2,0
233,192,192,54979,1,8,0
234,448,192,55276,1,2,0
235,320,192,55425,1,2,0
236,192,192,55499,1,2,0
237,64,192,55573,1,8,0
238,448,192,55722,1,2,0
239,64,192,55870,1,6,0
240,192,192,55870,1,4,0
241,192,192,56167,1,8,0
242,64,192,56464,1,2,0
243,192,192,56761,1,8,0
244,320,192,56910,1,0,0
245,448,192,57058,128,2,57355
246,320,192,57355,128,2,57652
247,192,192,57652,128,2,57949
248,64,192,57949,128,2,58246
249,320,192,58246,1,6,0
250,448,192,58246,1,4,0
251,192,192,58543,1,8,0
252,448,192,58840,1,2,0
253,64,192,59137,1,8,0
