,x,y,start,type,hitsound,end
0,64,192,736,1,4,0
1,192,192,736,1,8,0
2,64,192,1236,1,8,0
3,448,192,1236,1,0,0
4,192,192,1736,128,8,2111
5,64,192,2111,1,8,0
6,448,192,2111,1,0,0
7,320,192,2486,1,8,0
8,448,192,2486,1,0,0
9,64,192,2736,1,8,0
10,192,192,2736,1,0,0
11,320,192,3236,1,8,0
12,448,192,3236,1,0,0
13,64,192,3736,1,8,0
14,192,192,3736,1,0,0
15,64,192,4111,1,8,0
16,448,192,4111,1,0,0
17,192,192,4236,128,0,4486
18,320,192,4486,1,8,0
19,64,192,4736,1,8,0
20,448,192,4736,1,0,0
21,64,192,5236,1,8,0
22,192,192,5236,1,0,0
23,320,192,5736,128,8,6111
24,64,192,6111,1,8,0
25,448,192,6111,1,0,0
26,64,192,6486,1,8,0
27,192,192,6486,1,0,0
28,320,192,6861,128,0,7736
29,448,192,6861,128,0,7736
30,64,192,7736,1,2,0
31,192,192,7861,1,2,0
32,448,192,7986,1,2,0
33,320,192,8111,1,2,0
34,192,192,8236,1,2,0
35,64,192,8361,1,2,0
36,320,192,8486,1,2,0
37,448,192,8611,1,2,0
38,64,192,8736,1,2,0
39,192,192,8736,1,4,0
40,64,192,8986,1,2,0
41,448,192,8986,1,0,0
42,320,192,9111,1,0,0
43,192,192,9236,1,2,0
44,448,192,9361,1,0,0
45,64,192,9486,1,2,0
46,320,192,9486,1,0,0
47,192,192,9736,1,2,0
48,64,192,9986,1,2,0
49,448,192,9986,1,0,0
50,192,192,10111,1,0,0
51,320,192,10236,1,2,0
52,64,192,10361,1,0,0
53,192,192,10486,1,2,0
54,448,192,10486,1,0,0
55,320,192,10736,1,2,0
56,64,192,10986,1,2,0
57,448,192,10986,1,0,0
58,192,192,11111,1,0,0
59,320,192,11236,1,2,0
60,448,192,11361,1,0,0
61,64,192,11486,1,2,0
62,192,192,11486,1,0,0
63,320,192,11736,1,2,0
64,64,192,11986,1,2,0
65,448,192,11986,1,0,0
66,320,192,12111,1,0,0
67,192,192,12236,1,2,0
68,64,192,12361,1,0,0
69,320,192,12486,1,2,0
70,448,192,12486,1,0,0
71,192,192,12736,1,2,0
72,64,192,12986,1,2,0
73,448,192,12986,1,0,0
74,192,192,13111,1,0,0
75,320,192,13236,1,2,0
76,64,192,13361,1,0,0
77,192,192,13486,1,2,0
78,448,192,13486,1,0,0
79,64,192,13736,1,2,0
80,320,192,13986,1,2,0
81,448,192,13986,1,0,0
82,64,192,14111,1,0,0
83,448,192,14236,1,2,0
84,192,192,14361,1,0,0
85,64,192,14486,1,2,0
86,320,192,14486,1,0,0
87,64,192,14736,128,2,14986
88,192,192,14736,1,0,0
89,320,192,14986,1,2,0
90,448,192,14986,1,0,0
91,192,192,15236,1,2,0
92,64,192,15486,1,2,0
93,320,192,15486,1,0,0
94,448,192,15736,1,2,0
95,64,192,15861,1,2,0
96,192,192,15986,1,2,0
97,320,192,16111,1,2,0
98,448,192,16236,1,2,0
99,320,192,16361,1,2,0
100,192,192,16486,1,2,0
101,64,192,16611,1,2,0
102,320,192,16736,1,6,0
103,448,192,16736,1,8,0
104,64,192,16986,1,2,0
105,192,192,16986,1,0,0
106,320,192,17111,1,0,0
107,448,192,17236,1,10,0
108,64,192,17361,1,0,0
109,192,192,17486,1,2,0
110,320,192,17486,1,0,0
111,448,192,17736,1,10,0
112,192,192,17986,1,2,0
113,320,192,17986,1,0,0
114,448,192,18111,1,0,0
115,64,192,18236,1,10,0
116,320,192,18361,1,0,0
117,192,192,18486,1,2,0
118,448,192,18486,1,0,0
119,64,192,18736,1,10,0
120,320,192,18986,1,2,0
121,448,192,18986,1,0,0
122,192,192,19111,1,0,0
123,64,192,19236,1,10,0
124,320,192,19361,1,0,0
125,192,192,19486,1,2,0
126,448,192,19486,1,0,0
127,320,192,19736,1,10,0
128,64,192,19986,1,2,0
129,448,192,19986,1,0,0
130,192,192,20111,1,0,0
131,320,192,20236,1,10,0
132,448,192,20361,1,0,0
133,64,192,20486,1,2,0
134,192,192,20486,1,0,0
135,320,192,20736,1,10,0
136,64,192,20986,1,2,0
137,448,192,20986,1,0,0
138,320,192,21111,1,0,0
139,192,192,21236,1,10,0
140,448,192,21361,1,0,0
141,64,192,21486,1,2,0
142,320,192,21486,1,0,0
143,448,192,21736,1,10,0
144,64,192,21986,1,2,0
145,192,192,21986,1,0,0
146,448,192,22111,1,0,0
147,64,192,22236,1,10,0
148,320,192,22361,1,0,0
149,192,192,22486,1,2,0
150,448,192,22486,1,0,0
151,320,192,22736,1,2,0
152,448,192,22736,128,8,22986
153,192,192,22986,1,2,0
154,64,192,23236,1,8,0
155,448,192,23236,1,2,0
156,320,192,23486,1,2,0
157,64,192,23736,1,2,0
158,448,192,23861,1,2,0
159,192,192,23986,1,2,0
160,320,192,24111,1,2,0
161,64,192,24236,1,2,0
162,192,192,24361,1,2,0
163,320,192,24486,1,2,0
164,448,192,24611,1,2,0
165,64,192,24736,1,0,0
166,192,192,24736,1,0,0
167,320,192,24986,1,0,0
168,192,192,25111,1,0,0
169,448,192,25361,1,0,0
170,320,192,25486,1,0,0
171,192,192,25611,1,0,0
172,320,192,25861,1,0,0
173,448,192,25986,1,0,0
174,64,192,26111,1,0,0
175,320,192,26361,1,0,0
176,192,192,26486,1,0,0
177,64,192,26736,1,0,0
178,448,192,26736,1,0,0
179,192,192,26861,1,0,0
180,320,192,26986,1,0,0
181,448,192,27111,1,0,0
182,192,192,27361,1,0,0
183,320,192,27486,1,0,0
184,64,192,27611,1,0,0
185,192,192,27861,1,0,0
186,320,192,27986,1,0,0
187,448,192,28111,1,0,0
188,192,192,28361,1,0,0
189,64,192,28486,1,0,0
190,320,192,28611,1,0,0
191,192,192,28736,1,2,0
192,448,192,28736,1,4,0
193,64,192,28986,1,0,0
194,320,192,29236,1,8,0
195,192,192,29361,1,0,0
196,64,192,29736,1,2,0
197,448,192,29736,1,0,0
198,192,192,30111,1,0,0
199,320,192,30236,1,8,0
200,64,192,30486,1,0,0
201,448,192,30736,1,2,0
